key,french
landing_title,Mieux s'endormir — simple et efficace
landing_subtitle,Rappel intelligent • Routine 10 min • Suivi de constance
cta_trial,Essai 7j
cta_calculator,Calculer mes horaires
login_button,Se connecter
feature1_title,Calculateur
feature1_desc,Obtiens les meilleurs horaires alignés sur tes cycles.
feature2_title,Routine 10 min
feature2_desc,Une routine courte pour te préparer au sommeil.
feature3_title,Journal
feature3_desc,Note ta nuit et suis ta constance.
discover_cta,Découvrir
learn_section_title,Comprendre le sommeil
learn_section_desc,Articles courts et conseils pratiques pour mieux dormir.
learn_more_cta,En savoir plus
why_section_title,Pourquoi ça marche
benefit1,Basé sur les cycles de 90 min
benefit2,Routines simples, mises en pratique
benefit3,Suivi de régularité & motivation
footer_policy,Politique
footer_faq,FAQ
footer_contact,Contact
footer_copyright,© 2024 Sleep Reminder. Tous droits réservés.
login_modal_title,Se connecter
login_email_placeholder,votre@email.com
cancel_button,Annuler
confirm_button,Confirmer
paywall_modal_title,Essai gratuit 7 jours
paywall_subtitle,Débloquez toutes les fonctionnalités
paywall_description,Calculateur avancé, routines personnalisées, suivi détaillé
later_button,Plus tard
activate_trial_button,Activer l'essai
login_success_toast,Connexion réussie ✅
login_success_desc,Bienvenue dans Sleep Reminder
trial_activated_toast,Essai activé 🎉
trial_activated_desc,Profitez de 7 jours d'accès premium
